ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10001,1,1,1991,0,0,0,0,0,0,0,0,0,0
10002,1,1,1991,14,0,0,0,2,0,0,0,0,0
10002,2,1,1991,0,0,0,0,0,0,0,5,0,0
10002,3,1,1991,0,0,0,0,15,0,0,0,0,0
10002,4,1,1991,0,0,0,0,0,0,0,0,0,0
10002,5,1,1991,0,0,0,0,7,0,0,0,0,0
10003,1,1,1991,16,16,16,16,16,16,16,16,16,16
10004,1,1,1991,31,31,31,31,31,31,31,31,31,31
10005,1,1,1991,37,37,37,37,37,37,37,37,37,37
10005,2,1,1991,0,0,0,0,0,19,0,0,0,0
10006,1,1,1991,10,13,28,11,12,8,14,18,26,18
10007,1,1,1991,0,0,0,0,0,0,0,0,0,0
10007,2,1,1991,0,0,0,0,0,0,0,0,0,0
10008,1,1,1991,3,3,3,3,3,3,3,3,3,3
10009,1,1,1991,0,17,36,21,22,30,3,25,4,17
10010,1,1,1991,28,0,21,18,30,11,13,9,17,15
10011,1,1,1991,32,32,32,32,32,32,32,32,32,32
10011,2,1,1991,0,0,0,0,0,0,0,0,0,0
10012,1,1,1991,27,16,9,40,22,20,19,22,31,7
10013,0,1,1991,26,26,26,26,26,26,26,26,26,26
10013,1,1,1991,0,0,0,0,0,0,0,0,0,0
10014,1,1,1991,15,15,15,15,15,15,15,15,15,15
10014,2,1,1991,0,15,0,0,0,0,18,0,0,0
10015,1,1,1991,0,0,0,0,0,0,0,0,0,0
10016,1,1,1991,8,18,9,3,9,9,17,23,7,18
10016,2,1,1991,0,0,0,0,0,0,0,0,0,0
10017,1,1,1991,5,6,17,19,17,8,4,0,5,21
10017,2,1,1991,0,0,0,0,0,0,0,0,0,0
10018,1,1,1991,7,0,0,0,0,0,0,0,0,0
10019,1,1,1991,0,0,15,0,0,0,0,0,0,0
10019,2,1,1991,0,0,0,0,0,0,0,0,0,0
10020,1,1,1991,0,0,0,0,0,0,0,0,0,0
10020,2,1,1991,0,0,0,0,0,0,0,0,0,0
10021,1,1,1991,16,16,16,16,16,16,16,16,16,16
10022,1,1,1991,0,0,0,0,0,20,0,0,0,0
10022,2,1,1991,0,0,0,0,0,26,0,0,0,0
10023,1,1,1991,0,0,0,0,0,0,0,0,0,0
10024,1,1,1991,0,0,10,15,0,0,8,18,0,0
10025,1,1,1991,0,0,0,0,5,0,17,0,0,16
10026,0,1,1991,0,0,0,0,0,0,0,0,0,0
10026,1,1,1991,0,0,0,0,0,0,0,0,0,0
10027,1,1,1991,33,23,10,13,26,12,0,22,0,32
10028,1,1,1991,0,0,0,0,0,0,0,0,0,0
10028,2,1,1991,0,0,0,0,0,0,0,0,0,0
10028,3,1,1991,0,0,0,0,0,0,0,0,0,0
10028,4,1,1991,14,7,0,0,0,0,0,0,0,2
10029,1,1,1991,13,13,13,13,13,13,13,13,13,13
10030,1,1,1991,23,0,0,0,0,11,0,0,8,16
10030,2,1,1991,0,0,0,0,0,0,0,0,0,0
10031,0,1,1991,0,0,0,0,0,0,0,0,0,0
10031,1,1,1991,0,0,0,0,0,0,0,0,0,0
10032,1,1,1991,11,14,5,17,16,30,10,15,11,4
10033,0,1,1991,26,26,26,26,26,26,26,26,26,26
10033,1,1,1991,19,0,0,0,12,0,5,0,0,0
10033,2,1,1991,0,0,0,0,0,0,0,0,0,0
10033,3,1,1991,0,0,0,0,0,0,0,0,0,0
10034,1,1,1991,17,17,17,17,17,17,17,17,17,17
10035,1,1,1991,30,30,21,16,24,31,18,16,22,12
10036,0,1,1991,36,33,31,0,24,0,24,26,36,24
10036,1,1,1991,20,20,20,20,20,20,20,20,20,20
10038,0,1,1991,0,0,0,0,0,0,0,0,0,0
10038,0,2,1991,0,0,0,0,0,0,0,0,0,0
10038,1,1,1991,0,0,0,0,0,0,0,0,0,0
10039,1,1,1991,0,0,0,0,0,0,0,0,0,0
10039,2,1,1991,0,0,0,0,0,0,0,0,0,0
10040,1,1,1991,0,0,0,0,0,0,0,0,0,0
10041,1,1,1991,10,19,0,17,0,0,12,0,24,19
10041,2,1,1991,0,0,25,0,0,0,0,0,0,0
10042,1,1,1991,0,0,0,0,0,0,0,0,0,0
10043,1,1,1991,0,0,0,0,17,0,0,0,0,14
10043,2,1,1991,0,0,0,0,0,0,0,0,0,0
10043,3,1,1991,13,0,0,26,8,3,0,0,20,0
10044,1,1,1991,8,11,17,18,28,13,5,9,14,22
10045,1,1,1991,0,0,22,8,0,0,33,0,35,0
10046,1,1,1991,0,0,0,0,0,0,0,0,0,0
10046,2,1,1991,0,0,0,0,0,0,22,0,0,0
10047,1,1,1991,0,0,0,0,0,0,0,0,0,0
10047,2,1,1991,0,0,0,0,0,0,0,0,0,0
10048,1,1,1991,0,0,0,0,0,0,0,0,0,0
10048,2,1,1991,25,25,25,25,25,25,25,25,25,25
10048,3,1,1991,0,11,0,0,0,0,0,0,0,0
10050,1,1,1991,22,19,19,8,27,25,18,23,31,27
10051,1,1,1991,0,0,0,0,0,0,0,0,0,0
10051,2,1,1991,23,0,0,0,0,0,0,0,0,0
10052,1,1,1991,0,0,0,0,0,0,0,0,0,0
10052,2,1,1991,0,0,0,0,0,0,0,0,0,0
10053,1,1,1991,30,18,16,19,8,12,23,9,12,14
10054,1,1,1991,21,21,21,21,21,21,21,21,21,21
10055,1,1,1991,10,10,10,10,10,10,10,10,10,10
10055,2,1,1991,22,22,22,22,22,22,22,22,22,22
10056,1,1,1991,0,0,0,0,0,0,0,0,0,0
10056,2,1,1991,0,0,0,0,0,0,3,0,0,0
10057,1,1,1991,0,0,0,0,0,0,0,0,0,0
10057,2,1,1991,5,5,5,5,5,5,5,5,5,5
10058,1,1,1991,14,0,15,0,13,0,0,7,39,0
10059,0,1,1991,24,24,24,24,24,24,24,24,24,24
10059,1,1,1991,0,0,0,0,0,0,0,0,0,0
10061,1,1,1991,0,0,0,0,0,0,14,0,0,5
10061,2,1,1991,0,0,0,0,0,0,0,0,0,0
10062,1,1,1991,0,0,0,0,0,0,0,0,0,0
10063,1,1,1991,18,18,18,18,18,18,18,18,18,18
10063,2,1,1991,0,0,0,0,0,0,0,0,0,0
10064,1,1,1991,0,0,0,0,0,0,0,0,0,0
10064,2,1,1991,0,0,0,0,0,0,0,0,0,0
10065,1,1,1991,26,25,0,15,21,0,15,27,7,28
10066,1,1,1991,0,0,0,0,0,0,0,0,0,0
10066,2,1,1991,0,0,0,0,0,0,0,0,0,0
10067,1,1,1991,0,0,0,0,0,0,0,0,0,0
10067,2,1,1991,0,0,0,0,0,0,0,0,0,0
10068,1,1,1991,0,18,21,30,11,19,18,12,15,26
10069,1,1,1991,19,12,0,0,0,0,18,14,0,3
10070,1,1,1991,0,0,0,0,0,0,0,0,0,0
10071,1,1,1991,0,0,0,0,0,0,0,0,0,0
10071,2,1,1991,0,17,0,5,18,20,25,0,0,0
10072,1,1,1991,0,0,0,0,0,0,0,0,0,0
10072,2,1,1991,0,0,0,0,0,0,0,0,0,0
10073,1,1,1991,0,0,0,0,0,0,0,0,0,0
10073,2,1,1991,5,5,5,5,5,5,5,5,5,5
10074,1,1,1991,30,19,20,23,30,21,25,29,37,14
10075,0,1,1991,28,28,28,28,28,28,28,28,28,28
10075,1,1,1991,0,0,0,0,0,0,0,0,4,0
10076,1,1,1991,0,0,0,0,0,0,0,0,0,0
10076,2,1,1991,0,0,0,0,0,0,0,0,0,0
10077,1,1,1991,11,26,0,9,19,8,12,10,15,11
10078,1,1,1991,0,0,0,0,12,0,0,22,0,0
10078,2,1,1991,0,0,0,0,12,0,0,0,0,0
10079,1,1,1991,0,0,0,11,0,0,0,0,0,0
10079,2,1,1991,0,0,0,0,0,0,0,0,0,0
10080,0,1,1991,0,0,0,0,0,0,0,0,0,0
10080,1,1,1991,0,0,0,0,0,0,0,0,0,0
10081,1,1,1991,0,0,0,0,0,0,0,21,0,0
