ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1996,0,16,0,0,21,31,0,0,0,0
10002,1996,25,0,14,15,0,0,0,26,19,17
10003,1996,0,0,0,0,0,0,0,0,0,0
10004,1996,16,16,16,16,16,16,16,16,16,16
10005,1996,35,18,19,23,28,12,15,9,15,34
10006,1996,0,0,0,0,0,0,0,0,0,0
10007,1996,9,9,9,9,9,9,9,9,9,9
10008,1996,0,0,0,9,0,0,0,0,0,0
10009,1996,0,0,7,0,0,0,0,0,21,0
10010,1996,19,10,29,9,32,12,14,18,15,15
10011,1996,0,0,0,0,0,0,0,0,0,0
10012,1996,0,0,0,0,0,0,0,0,0,0
10014,1996,0,0,0,0,10,0,0,0,0,0
10015,1996,0,11,0,0,0,0,16,19,0,15
10016,1996,0,0,0,0,0,12,0,0,0,0
10017,1996,0,0,0,0,0,0,0,0,0,0
10018,1996,11,0,0,16,0,0,0,0,0,0
10019,1996,13,28,16,30,23,15,13,18,10,27
10020,1996,0,0,0,0,0,0,0,0,0,0
10021,1996,0,0,0,0,0,0,0,0,0,0
10022,1996,0,0,0,0,0,0,0,0,0,0
10023,1996,0,0,0,0,0,0,0,0,0,0
10024,1996,12,6,8,15,23,7,15,19,16,19
10025,1996,0,0,0,0,0,0,0,0,0,0
10026,1996,0,0,0,0,0,17,0,0,0,3
10027,1996,0,0,0,0,0,0,0,0,0,0
10028,1996,10,0,12,13,12,24,23,25,14,19
10029,1996,13,0,0,0,0,0,0,0,0,21
10030,1996,0,0,10,0,0,11,9,0,0,0
10031,1996,2,2,2,2,9,12,2,12,2,2
10032,1996,0,0,0,0,0,0,0,0,0,0
10033,1996,0,0,0,0,0,0,0,0,8,17
10034,1996,0,0,0,0,0,0,18,0,0,0
10035,1996,19,19,19,19,19,19,24,19,19,19
10036,1996,0,0,0,0,0,0,0,0,0,0
10037,1996,0,0,0,9,0,0,0,0,0,0
10038,1996,0,17,0,22,0,0,17,0,0,0
10039,1996,19,0,16,0,0,0,42,0,0,13
10040,1996,0,0,0,0,0,0,0,0,0,0
10041,1996,17,11,16,21,20,6,9,26,12,20
10042,1996,0,0,0,0,9,21,21,7,11,17
10043,1996,0,0,0,0,0,0,0,0,19,0
10044,1996,0,0,0,0,0,0,0,0,0,0
10045,1996,8,8,8,8,8,8,8,8,8,8
10046,1996,0,0,0,0,0,0,0,0,0,0
10047,1996,0,0,0,0,0,0,0,0,0,0
10048,1996,15,0,0,26,0,17,0,0,0,0
10049,1996,0,0,0,0,0,0,0,0,0,0
10050,1996,0,0,0,0,0,0,0,0,0,0
10051,1996,0,0,0,0,0,0,0,0,0,0
10052,1996,0,0,0,0,0,0,0,0,0,0
10053,1996,0,0,0,7,20,0,0,0,0,14
10054,1996,24,24,24,24,24,24,24,24,24,24
10055,1996,0,0,0,0,0,0,0,0,0,0
10056,1996,0,0,0,0,0,0,0,0,0,0
10057,1996,0,0,0,0,22,0,0,0,0,0
10058,1996,23,23,23,23,23,23,23,23,23,23
10059,1996,6,9,0,0,0,0,7,0,11,15
10060,1996,20,20,20,20,20,20,20,20,20,20
10061,1996,0,0,0,0,0,0,0,0,0,0
10062,1996,0,0,0,0,0,0,0,0,10,0
10063,1996,16,30,34,21,0,18,24,25,25,18
10064,1996,0,0,0,0,0,0,0,0,0,0
10065,1996,0,0,0,0,0,0,0,0,0,0
10066,1996,0,0,0,0,0,0,0,0,0,0
10067,1996,13,27,19,19,46,25,15,14,22,28
10068,1996,0,0,0,0,0,0,0,0,0,0
10069,1996,3,20,23,7,21,10,18,23,12,12
10070,1996,0,0,0,0,0,0,0,0,0,0
10071,1996,0,0,9,0,0,0,16,0,0,0
10072,1996,13,22,33,12,21,13,0,24,0,19
10073,1996,0,0,0,0,0,0,0,0,0,0
10074,1996,0,0,0,0,0,0,0,0,0,0
10075,1996,20,20,20,20,20,20,20,20,20,20
10076,1996,0,0,0,0,0,0,0,0,0,0
10077,1996,0,7,25,14,11,22,8,16,21,13
10078,1996,0,0,0,0,0,0,0,0,0,0
10079,1996,3,0,12,0,0,0,13,17,0,0
10080,1996,20,9,10,13,22,36,3,17,10,22
10081,1996,9,27,23,6,18,23,0,23,0,8
10082,1996,9,0,14,0,19,0,0,10,13,0
10083,1996,22,13,22,18,20,24,26,7,20,19
10084,1996,0,0,0,0,0,0,0,0,0,0
10085,1996,13,13,13,13,13,13,13,13,13,13
10086,1996,23,13,16,31,39,7,18,0,23,21
10087,1996,0,0,0,0,0,0,0,0,0,0
10088,1996,0,0,0,0,0,0,0,0,0,0
10089,1996,14,17,13,8,14,14,15,12,20,21
10090,1996,18,18,18,18,18,18,18,18,18,18
10091,1996,0,0,0,0,0,0,0,0,0,0
10092,1996,0,0,0,0,0,0,0,0,0,0
10093,1996,19,20,21,32,26,19,25,28,19,11
10094,1996,0,15,9,0,10,7,13,25,10,18
10095,1996,0,0,0,0,0,0,0,0,0,0
10096,1996,0,10,6,13,22,22,13,0,12,17
10097,1996,15,12,0,20,0,26,9,36,18,21
10098,1996,0,0,0,0,0,0,0,0,0,0
10099,1996,9,9,9,9,9,9,9,9,9,9
10100,1996,33,33,33,33,33,33,33,33,33,33
10101,1996,0,0,0,0,0,0,0,0,0,0
10102,1996,0,0,0,20,0,0,0,0,0,0
10103,1996,15,15,15,15,15,15,15,15,15,15
10104,1996,0,0,0,0,0,0,0,0,0,0
10105,1996,19,24,13,21,18,25,14,34,39,0
10106,1996,0,0,0,0,0,0,0,0,0,0
10107,1996,20,20,20,20,20,20,20,20,20,20
10108,1996,0,0,0,0,0,0,0,0,0,0
10109,1996,13,13,13,13,13,13,13,13,13,13
10110,1996,0,0,0,0,0,0,0,0,0,0
10111,1996,0,0,0,0,0,0,0,0,0,0
10112,1996,7,8,13,35,3,23,18,22,21,21
10113,1996,10,0,0,0,0,0,0,0,0,0
10114,1996,0,0,0,0,0,0,0,0,0,0
10115,1996,20,33,13,9,9,28,11,9,6,15
10116,1996,0,13,6,0,0,0,0,0,0,23
10117,1996,0,0,0,25,0,0,0,10,0,12
10118,1996,0,0,0,0,0,0,0,0,0,0
10119,1996,34,11,18,27,0,26,15,15,27,20
10120,1996,0,0,10,14,0,0,0,0,0,0
10121,1996,0,0,0,0,0,0,0,0,0,0
10122,1996,0,0,0,0,0,0,0,0,0,0
10123,1996,0,0,0,0,0,0,0,0,0,0
10124,1996,31,12,19,14,12,20,15,12,14,12
10125,1996,7,18,14,12,20,16,13,15,14,13
10126,1996,0,0,0,0,0,0,0,17,0,0
10127,1996,0,0,0,0,0,0,0,0,0,0
10128,1996,5,16,10,0,0,11,12,21,23,30
10129,1996,29,29,29,29,29,29,29,29,29,29
10130,1996,18,18,18,18,19,18,18,18,18,18
10131,1996,0,0,0,0,0,0,0,0,0,0
10132,1996,0,0,0,0,0,0,0,0,0,0
10133,1996,0,0,0,12,0,0,0,0,0,0
10134,1996,22,22,22,22,22,22,22,22,22,22
10135,1996,13,9,20,15,9,21,20,4,14,18
10136,1996,10,12,26,18,35,28,25,22,20,8
10137,1996,13,4,0,4,16,19,11,23,8,5
10138,1996,25,25,25,25,25,25,25,25,25,25
10139,1996,0,0,0,0,0,0,0,0,0,0
10140,1996,0,0,0,0,0,0,0,0,0,0
10141,1996,28,18,10,0,0,20,0,18,11,23
10142,1996,16,18,9,16,27,21,17,16,23,22
10143,1996,16,16,16,16,16,16,16,16,16,16
10144,1996,0,0,0,0,0,0,0,0,0,0
10145,1996,28,28,28,28,28,28,28,28,28,28
10146,1996,0,0,0,0,14,0,0,0,0,0
10147,1996,0,0,0,0,0,0,0,0,0,0
10148,1996,26,0,14,0,0,0,4,0,0,0
10149,1996,0,0,0,0,7,0,0,0,0,0
10150,1996,9,13,21,6,8,8,11,9,5,12
10151,1996,9,16,15,40,20,3,19,24,14,33
10152,1996,0,0,0,0,0,0,0,0,0,0
10153,1996,22,22,22,22,22,22,22,22,22,22
10154,1996,14,14,14,14,14,14,19,14,14,14
10155,1996,20,14,32,25,22,21,10,27,18,18
10156,1996,30,35,19,14,15,17,29,16,19,29
10157,1996,24,24,24,24,24,24,24,24,24,24
10158,1996,13,13,13,13,13,13,13,13,13,13
10159,1996,8,8,8,8,8,8,8,8,8,8
