ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,1997,11,11,11,11,11,11,11,11,11,11
10002,1997,2,2,2,2,2,2,2,2,2,2
10003,1997,0,0,0,7,0,0,0,12,25,0
10004,1997,0,0,0,0,0,0,0,0,0,0
10005,1997,16,16,16,16,16,16,16,16,16,16
10006,1997,0,0,0,0,0,0,0,0,0,0
10007,1997,15,15,15,15,15,15,15,15,15,15
10008,1997,0,6,0,0,0,8,0,0,0,0
10009,1997,0,0,0,0,0,0,0,0,0,0
10010,1997,17,0,24,7,19,18,23,0,0,9
10011,1997,0,0,29,0,24,0,0,8,0,0
10012,1997,0,0,7,0,0,0,0,0,0,0
10013,1997,11,11,11,11,11,11,11,11,11,11
10014,1997,0,0,0,0,0,0,0,0,0,0
10015,1997,0,0,0,0,0,0,0,0,0,0
10016,1997,12,12,11,32,6,18,12,15,16,19
10017,1997,31,31,31,31,31,31,31,31,31,31
10018,1997,0,0,0,0,0,0,0,0,0,0
10019,1997,0,0,0,0,0,0,0,0,0,0
10020,1997,0,0,0,0,0,0,0,0,0,0
10021,1997,0,0,0,0,0,0,0,0,0,0
10022,1997,15,31,15,0,24,0,22,16,27,0
10023,1997,30,30,30,30,30,30,30,30,30,30
10024,1997,0,0,0,0,0,0,0,11,0,0
10025,1997,16,16,16,16,16,16,16,16,16,16
10026,1997,25,25,25,25,25,25,25,25,25,25
10027,1997,25,0,0,0,0,0,0,0,0,0
10028,1997,0,0,0,0,0,0,0,0,0,0
10029,1997,0,0,0,0,0,0,0,0,0,0
10030,1997,0,0,0,0,0,0,0,0,0,0
10031,1997,0,0,0,0,0,0,0,0,0,0
10032,1997,20,19,2,6,3,8,5,0,9,12
10033,1997,23,23,23,23,23,23,23,23,23,23
10034,1997,15,15,15,15,15,15,15,15,15,15
10035,1997,15,15,15,12,12,0,14,12,23,20
10036,1997,9,8,25,20,37,0,0,30,24,9
10037,1997,22,0,0,0,12,17,0,0,0,0
10038,1997,3,0,0,0,15,0,0,0,8,0
10039,1997,26,51,11,25,10,16,16,17,26,23
10040,1997,22,22,22,22,22,22,22,22,22,22
10041,1997,0,0,0,0,0,0,0,0,0,0
10042,1997,16,0,0,9,0,0,0,0,0,0
10043,1997,0,0,0,0,0,0,0,0,0,0
10044,1997,0,0,0,0,0,0,0,0,0,0
10045,1997,0,0,0,0,0,0,0,0,0,0
10046,1997,14,14,14,14,14,14,14,14,14,14
10047,1997,17,17,17,17,17,17,17,17,17,17
10048,1997,0,0,0,0,0,0,0,0,0,0
10049,1997,0,11,15,0,0,0,0,0,5,0
10050,1997,0,0,0,0,0,0,0,0,0,0
10051,1997,11,0,0,0,0,0,0,0,0,0
10052,1997,0,0,0,8,0,4,0,0,0,0
10053,1997,0,0,0,0,0,0,0,0,0,0
10054,1997,36,36,36,36,36,36,36,36,36,36
10055,1997,14,15,14,14,19,14,14,16,14,14
10056,1997,0,0,0,0,0,0,0,0,0,0
10057,1997,7,7,17,9,13,24,15,10,16,24
10058,1997,0,0,13,0,11,0,0,0,0,0
10059,1997,25,24,15,17,15,27,23,5,21,9
10060,1997,0,0,0,0,0,0,0,0,0,0
10061,1997,0,0,0,0,0,0,0,0,0,0
10062,1997,16,16,16,16,16,16,16,16,16,16
10063,1997,15,15,15,15,15,15,15,15,15,15
10064,1997,21,21,21,21,21,21,21,21,21,21
10065,1997,7,7,7,7,7,7,7,7,7,7
10066,1997,21,21,21,21,21,21,21,21,21,21
10067,1997,0,0,0,13,0,0,12,0,0,0
10068,1997,11,18,11,20,22,18,18,15,30,20
10069,1997,16,2,7,25,15,16,7,10,14,21
10070,1997,29,29,29,29,29,29,29,29,29,29
10071,1997,0,0,0,0,0,0,0,0,0,0
10072,1997,25,10,4,0,0,0,0,0,0,0
10073,1997,13,19,10,36,27,21,19,31,26,11
10074,1997,0,0,0,0,0,0,0,0,0,0
10075,1997,0,0,0,0,0,17,31,16,0,0
10076,1997,0,0,22,42,0,0,0,0,0,0
10077,1997,10,10,10,10,10,10,10,10,10,10
10078,1997,0,0,0,0,0,0,0,0,0,0
10079,1997,0,0,0,0,0,0,0,0,0,0
10080,1997,23,23,23,23,23,23,23,23,23,23
10081,1997,10,10,10,10,10,10,10,10,10,10
10082,1997,18,18,18,18,18,18,18,18,18,18
10083,1997,0,27,0,0,27,0,0,0,0,0
10084,1997,18,18,18,18,18,18,18,18,18,18
10085,1997,0,0,0,0,0,0,0,0,0,0
10086,1997,0,0,0,0,0,0,0,0,0,0
10087,1997,0,0,0,0,0,0,0,0,0,0
10088,1997,0,0,0,0,0,0,0,6,0,0
10089,1997,0,0,0,0,0,0,0,0,0,0
10090,1997,0,19,20,10,15,9,0,15,23,23
10091,1997,0,0,0,0,0,0,0,0,0,0
10092,1997,9,0,0,0,0,0,0,0,0,0
10093,1997,22,22,22,22,22,22,22,22,22,22
10094,1997,0,0,0,0,0,0,0,0,0,0
10095,1997,10,16,29,20,25,18,32,25,25,14
10096,1997,0,0,13,0,0,0,0,0,0,0
10097,1997,17,0,7,0,0,12,20,0,25,29
10098,1997,0,0,0,0,0,0,0,0,0,0
10099,1997,18,18,18,18,18,18,18,18,18,18
10100,1997,28,28,28,28,28,28,28,28,28,28
10101,1997,0,0,0,0,0,0,0,0,0,0
10102,1997,30,14,13,9,14,5,6,20,7,2
10103,1997,0,0,0,0,0,0,0,0,0,0
10104,1997,0,20,0,0,15,0,0,0,0,0
10105,1997,0,0,30,0,0,0,0,21,26,0
10106,1997,14,14,14,14,14,14,14,14,14,14
10107,1997,14,14,14,14,14,14,14,14,14,14
10108,1997,0,0,9,0,0,15,0,0,24,24
10109,1997,16,18,15,31,16,31,28,0,15,11
10110,1997,0,0,0,0,0,0,0,0,0,0
10111,1997,0,0,0,0,0,0,0,18,0,0
10112,1997,0,0,0,0,0,0,0,0,0,0
10113,1997,0,0,0,0,0,0,0,0,0,0
