State,Measures,Year,Values
Alabama,Licensed drivers,2019,4026151
Alaska,Licensed drivers,2019,529281
Arizona,Licensed drivers,2019,5369210
Arkansas,Licensed drivers,2019,2153929
California,Licensed drivers,2019,27213650
Colorado,Licensed drivers,2019,4235384
Connecticut,Licensed drivers,2019,2608061
Delaware,Licensed drivers,2019,812529
District of Columbia,Licensed drivers,2019,535579
Florida,Licensed drivers,2019,15560628
Georgia,Licensed drivers,2019,7261266
Hawaii,Licensed drivers,2019,943173
Idaho,Licensed drivers,2019,1252535
Illinois,Licensed drivers,2019,8546932
Indiana,Licensed drivers,2019,4589405
Iowa,Licensed drivers,2019,2274431
Kansas,Licensed drivers,2019,2154260
Kentucky,Licensed drivers,2019,3030329
Louisiana,Licensed drivers,2019,3435168
Maine,Licensed drivers,2019,1046129
Maryland,Licensed drivers,2019,4463862
Massachusetts,Licensed drivers,2019,4950056
Michigan,Licensed drivers,2019,7141494
Minnesota,Licensed drivers,2019,3391057
Mississippi,Licensed drivers,2019,2058036
Missouri,Licensed drivers,2019,4274389
Montana,Licensed drivers,2019,811851
Nebraska,Licensed drivers,2019,1430818
Nevada,Licensed drivers,2019,2054421
New Hampshire,Licensed drivers,2019,1195211
New Jersey,Licensed drivers,2019,6377413
New Mexico,Licensed drivers,2019,1449711
New York,Licensed drivers,2019,12194360
North Carolina,Licensed drivers,2019,7620001
North Dakota,Licensed drivers,2019,556064
Ohio,Licensed drivers,2019,8032792
Oklahoma,Licensed drivers,2019,2522670
Oregon,Licensed drivers,2019,2930701
Pennsylvania,Licensed drivers,2019,8987676
Rhode Island,Licensed drivers,2019,761046
South Carolina,Licensed drivers,2019,3877968
South Dakota,Licensed drivers,2019,638428
Tennessee,Licensed drivers,2019,5422429
Texas,Licensed drivers,2019,17822760
Utah,Licensed drivers,2019,2121099
Vermont,Licensed drivers,2019,564894
Virginia,Licensed drivers,2019,5888196
Washington,Licensed drivers,2019,5711136
West Virginia,Licensed drivers,2019,1130389.173
Wisconsin,Licensed drivers,2019,4296646
Wyoming,Licensed drivers,2019,424115
Alabama,Licensed drivers,2018,3999057
Alaska,Licensed drivers,2018,536033
Arizona,Licensed drivers,2018,5284970
Arkansas,Licensed drivers,2018,2145334
California,Licensed drivers,2018,27039400
Colorado,Licensed drivers,2018,4244713
Connecticut,Licensed drivers,2018,2605612
Delaware,Licensed drivers,2018,786504
District of Columbia,Licensed drivers,2018,527731
Florida,Licensed drivers,2018,15368695
Georgia,Licensed drivers,2018,7168733
Hawaii,Licensed drivers,2018,948417
Idaho,Licensed drivers,2018,1252535
Illinois,Licensed drivers,2018,8714788
Indiana,Licensed drivers,2018,4589405
